担任の先生に質問をしたら、的確なアドバイスをもらった。,1,0,0
体育の授業で新しいスポーツに挑戦した。,0,0,3
朝ランニングを続けて体力がついた。,0,1,0
朝寝坊したけど急いで学校に向かったら間に合った。,0,0,2
ピアスを開け血がでた、ショッキング！,0,0,-2
数学の授業で難解な問題に挑戦した。,4,0,0
クラスメイトとのグループ勉強で、難しい科目が理解できた。,2,0,0
花粉症で風邪を引いてしまった。,0,-1,0
恋愛相談を受けて、容姿に自信が持てた。,0,1,0
デートでカラオケに誘われ、歌が上手だと褒められた。,0,2,0
春の合唱コンクールでソロパートを任され、感動を与えることができた。,0,0,4
髪を職人の手に委ね、新たな髪型で輝きを取り戻す。,0,1,0
ピアスを開け、洒落た新しいルックスに変身！,0,2,0
おばあさんを助けて、運勢が上昇。善行の報いがやってきました。,0,0,3
勉強漬けの日々で睡眠不足が続き、脳みそがグレードダウン！,-2,0,0
花見で友達と一緒に楽しんだ。,0,0,1
春の新入生歓迎会で新しい友達ができた。,0,0,2
春のスポーツ大会でリレーのアンカーを務めて優勝！,0,0,4
春の校外学習で雨に降られた。,0,0,-3
エイプリルフールにうそをつき友達との誤解から喧嘩になった。,0,0,-3
